id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2013205,2022-12-28,|EO| Lion Magic and Sorceress,|EO|� Endless Obsessions Rare Breed Cattery (#83605),50,0,20,female,mixed breed,8,36,3,-5,-4,0,-12,-7,2,0,2,0,1,13,12,9,15,straight,7,12,bronze,deep,normal,short (Munchkin),shorthair,,white,,,,False,False,False,False,False,0,0,True,39.99,61.99,54.30,30.00,83.55,55.00
2006641,2022-12-28,#2006641 Sell?,CCeline's Mew (#171351),50,0,49,female,mixed breed,8,36,7,-8,1,-1,-7,-8,2,0,2,0,0,17,9,14,14,straight,12,11,bronze,deep,normal,normal,shorthair,,chocolate,bicolor,classic tabby,,False,False,False,False,False,0,0,True,94.99,88.49,0.00,87.00,99.88,50.00
2005835,2022-12-28,#▧Java,Tic-Tac to the rescue (#269418),300,0,53,female,mixed breed,7,37,9,-4,0,-3,-16,-1,2,0,2,0,0,19,13,13,13,folded,3,18,aqua,deep,normal,normal,shorthair,,blue,,spotted tabby,,False,False,False,False,False,0,0,True,99.99,87.49,96.80,43.80,46.70,7.00
2010384,2022-12-28,#Miss Bonny of the Moment - LH,Enakhra ~James' Rehab and Retirement Center~ (#146955),1,0,33,female,mixed breed,8,37,2,-6,-7,-4,-11,-2,3,2,0,0,0,12,11,6,11,straight,8,17,grey-green,pale,normal,normal,longhair,,natural,,spotted tabby,mink,False,False,False,False,False,0,0,True,4.99,8.99,0.00,22.00,95.99,76.00
2007897,2022-12-28,#Helmouth,Rescue Shelter,200,0,43,female,mixed breed,8,37,-3,2,-1,-8,-9,-9,3,0,2,0,0,7,19,12,7,straight,10,10,bronze,medium,normal,normal,shorthair,,black,mitted,,,False,True,True,False,False,0,0,True,99.99,12.00,9.00,6.00,72.99,90.00
2007894,2022-12-28,#2007894,Rescue Shelter,200,0,43,female,mixed breed,8,37,-4,1,1,-8,-9,-9,3,0,2,0,0,6,18,14,7,straight,10,10,orange,pale,normal,normal,shorthair,,black,bicolor,,,False,False,False,True,False,0,0,True,99.99,5.00,9.00,11.00,53.99,90.00
2004062,2022-12-28,#Gigi for GD Batpotion,Rescue Shelter,200,0,61,female,mixed breed,8,37,-1,2,2,-9,-9,-9,3,0,2,0,0,9,19,15,6,straight,10,10,yellow,pale,normal,normal,shorthair,,black,bicolor,ticked tabby,,False,False,False,False,False,0,43,True,99.99,3.50,9.00,18.00,51.96,96.00
2004409,2022-12-28,Chester,s. (#269726),400,0,58,female,mixed breed,8,37,2,-12,-4,-6,-8,-1,2,0,2,0,0,12,5,9,10,curled,11,18,green,deep,normal,normal,shorthair,LaPerm,chocolate,bicolor,,,False,False,False,False,False,0,0,True,89.99,3.99,0.00,41.00,99.99,99.99
2013880,2022-12-28,#2013880 sell,Almalexia | Tigraunda Revival (#70878),100,0,17,female,mixed breed,9,37,6,2,-3,-3,-9,-9,2,0,2,1,0,16,19,10,12,straight,10,10,grey-green,deep,short (bobtail),normal,shorthair,,black,,,,False,False,False,True,False,0,0,True,99.99,85.81,0.00,63.00,91.89,50.00
2012076,2022-12-28,#2012076,Rescue Shelter,200,0,25,female,mixed breed,9,37,-5,-2,-5,-8,-4,-7,2,2,2,0,0,5,15,8,7,straight,15,12,hazel,deep,normal,normal,longhair,rex III,black,harlequin,,,False,False,False,False,True,0,0,True,99.99,2.74,0.00,18.00,99.99,75.00
2012731,2022-12-28,﴾Chant﴿ Solar Danee of Fantasy,SnowyRina167 (#269419),1,0,21,female,mixed breed,8,38,3,-6,-2,-6,-12,-7,1,0,0,1,0,13,11,11,9,straight,7,12,blue,medium,short (bobtail),normal,shorthair,LaPerm,seal,bicolor,classic tabby,point,False,False,False,True,False,0,0,True,14.99,15.99,0.00,71.00,98.98,60.00
2010573,2022-12-28,Little Oreo,Rescue Shelter,200,0,32,female,mixed breed,8,38,9,-7,-6,0,-8,-4,1,2,0,0,1,19,10,7,15,straight,11,15,blue,pale,normal,short (Munchkin),longhair,wirehair,natural,harlequin,,mink,False,False,False,False,False,0,0,True,99.99,9.99,6.00,76.00,82.00,74.00
2012733,2022-12-28,﴾Chant﴿  Simply Nai Eclipsehunter,SnowyRina167 (#269419),1,0,21,female,mixed breed,7,39,3,-6,-2,-7,-13,-7,0,0,0,1,0,13,11,11,9,folded,6,12,blue,deep,short (bobtail),normal,shorthair,wirehair,natural,mitted,classic tabby,mink,False,False,False,True,False,0,0,True,14.99,3.99,0.00,74.00,97.98,60.00
2015586,2022-12-28,#South Shady -stray,Mezzmeric's Feline Fiasco (#26989),1,0,29,female,mixed breed,7,39,-1,-12,5,1,-16,0,2,0,2,0,0,9,5,18,16,straight,3,19,bronze,deep,normal,normal,shorthair,rex III wirehair,chocolate,bicolor,,,False,False,False,True,False,0,0,True,99.99,99.99,97.99,15.00,74.84,49.00
2015199,2022-12-28,#2015199,Almalexia | Tigraunda Revival (#70878),100,0,11,female,mixed breed,8,39,-7,-1,-1,-6,-7,-12,3,0,2,0,0,3,16,12,9,straight,12,7,coffee,medium,normal,normal,shorthair,,black,,,,True,False,False,True,False,0,0,True,99.99,90.77,59.00,58.00,97.92,50.00
2016764,2022-12-28,#Angel Gilda (Stray),"Embers - Andromedas, Bohemian Rhapsodies (#136373)",100,0,28,female,mixed breed,8,39,7,-1,-6,-3,-15,-2,3,0,2,0,0,17,16,7,12,straight,4,17,grey-brown,medium,normal,normal,shorthair,,black,,mackerel tabby,,False,True,False,False,False,0,0,True,99.99,99.99,54.00,76.00,19.95,45.00
