id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2005353,2022-12-28,Haze,Crystery (#268143),0,1,56,male,Somali,8,22.0,0.5,-5.0,0.5,-1.5,-6.5,-4.0,2,2,0,0,0,12.5,12.0,12.5,13.5,straight,12.5,14.0,grey-green,deep,normal,normal,longhair,,black,,ticked tabby,,False,False,False,True,False,0,0,,19.99,9.37,48.30,92.49,99.29,53.00
2004337,2022-12-28,# Lizardtail,Silverglitter17 (#179130),25,12,60,male,mixed breed,8,22.0,-1.0,-3.5,0.5,-3.0,-5.5,-4.5,2,2,0,0,0,11.0,13.5,12.5,12.0,straight,13.5,13.5,grey-green,deep,normal,normal,longhair,,black,harlequin,spotted tabby,,False,False,False,True,False,0,0,,84.99,69.47,0.00,40.00,99.99,70.00
2006309,2022-12-28,#2006309,Gundham's selling stand (#222516),50,0,51,male,mixed breed,8,22.0,3.0,-3.5,1.5,-1.0,-4.5,-4.5,2,2,0,0,0,15.0,13.5,13.5,14.0,straight,14.5,13.5,hazel,deep,normal,normal,longhair,,blue,van,,,False,False,False,False,True,0,0,,4.99,5.99,0.00,61.00,86.92,78.00
2012345,2022-12-28,#Snowkit,C0LDC00L  (#268637),100,0,25,male,mixed breed,8,22.0,1.0,-6.0,-2.0,0.5,-3.5,-6.0,2,0,0,1,0,13.0,11.0,10.0,15.5,straight,15.5,12.0,green/deep blue odd-eyed,deep,short (bobtail),normal,shorthair,,red,harlequin,spotted tabby,,False,False,False,True,False,0,0,,4.99,9.96,13.00,73.00,99.99,74.00
2007848,2022-12-28,#2007848,Almalexia | Tigraunda Revival (#70878),100,0,44,male,mixed breed,8,22.0,2.5,-2.0,1.0,-1.0,-5.5,-6.0,2,2,0,0,0,14.5,15.0,13.0,14.0,straight,13.5,12.0,grey-green,deep,normal,normal,longhair,,black,bicolor,mackerel tabby,,False,False,False,True,False,0,0,,99.99,81.81,0.00,56.00,83.75,50.00
2003958,2022-12-28,#2003958 2ex,Ali's Cattery 2 Mixies and OriMajs (#267045),1,0,62,male,mixed breed,9,22.0,2.0,-4.5,3.0,-2.5,-3.0,-2.0,2,2,0,0,1,14.0,12.5,15.0,12.5,straight,16.0,16.0,green,deep,normal,short (Munchkin),longhair,LaPerm,lilac,bicolor,ticked tabby,,False,False,False,False,False,0,0,,4.99,2.49,0.00,99.00,99.99,99.99
2004094,2022-12-28,#MjCpssmwb7,AdaanA (#214086),0,100,61,male,Majestic Coon,9,22.0,-3.0,-1.0,0.0,-2.0,-5.0,-4.0,3,2,0,1,1,9.0,16.0,12.0,14.0,curled,14.0,14.0,aqua,pale,short (bobtail),short (Munchkin),longhair,,platinum,bicolor,,mink,False,False,False,True,False,0,0,,99.99,83.49,81.99,89.00,99.91,50.00
2011883,2022-12-28,#2011883 - SH (stray),Enakhra ~James' Rehab and Retirement Center~ (#146955),1,0,45,male,mixed breed,6,22.5,0.0,-5.5,-5.0,2.0,-4.0,-3.0,3,0,0,0,0,12.0,11.5,7.0,17.0,straight,15.0,15.0,yellow,medium,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,False,False,True,False,0,0,,3.00,13.00,37.00,19.00,44.00,23.00
2006226,2022-12-28,#2006226,Mocha116 (#222196),0,5,52,male,mixed breed,7,22.5,3.0,-5.0,0.0,-2.0,-5.5,-3.0,2,2,0,0,0,15.0,12.0,12.0,13.0,straight,13.5,15.0,grey-green,deep,normal,normal,longhair,,black,,spotted tabby,,False,False,False,True,False,0,0,,89.99,55.66,0.00,35.00,99.82,73.00
2008374,2022-12-28,Akira Fudo,Sorry (#269284),0,50,43,male,American Curl,7,22.5,1.0,-4.0,0.0,-4.0,-5.0,-4.5,2,2,0,0,0,13.0,13.0,12.0,12.0,curled,14.0,13.5,yellow-green,deep,normal,normal,longhair,,black,,,,False,True,False,False,False,0,0,,24.99,12.99,18.80,39.00,99.99,58.00
